time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.21382399807e-07,6.76785287131e-07,10.0055314854,0.00049377038033,0.000339255333815,0.0,-3.56367452164e-05,5.50418603908e-05,0.18437033702,0.021010349726,0.0150705847126,0.0,462.9110828710253,464.0951907225018,461.46095249258275,463.11611447270815
0.12000000000000001,-1.58985431344e-05,2.2896287671e-05,10.025030879,0.0016847409408,0.00134786452556,0.0,-0.000603728544644,0.000843628686955,0.465536958265,0.0174206296513,0.0200800043677,0.0,490.65115605918993,491.0227485064607,491.48589866841917,491.2197457716501
0.18,-8.0857562379e-05,0.000107581722789,10.0534855611,0.00250637781779,0.00275354338507,0.0,-0.00167939245873,0.00206417152976,0.482944707608,0.00494352518671,0.0293994278837,0.0,409.7891681234241,410.61672676410615,410.53916443346213,409.43067009203105
0.23999999999999996,-0.000240814536825,0.000280611900486,10.0840356422,0.00253095489545,0.00444848357833,0.0,-0.00381676883011,0.00372062579038,0.535367236758,-0.0106975822352,0.0258431467687,0.0,422.0462950207348,421.7395499105059,422.3659490017892,421.01503924518437
0.3,-0.000562485926701,0.000550966888898,10.118014607,0.00194690435313,0.00625388481964,0.0,-0.00706824360986,0.00523212830421,0.597233511872,-0.00787380542227,0.037458167984,0.0,423.4681407495929,424.4662725906613,425.79585550357064,426.0374426226152
0.36000000000000004,-0.00110916917477,0.000899264480245,10.1545799727,0.00167612750276,0.0082228309812,0.0,-0.0113478469245,0.0063446794462,0.621597568694,0.00147994424151,0.021378458351,0.0,413.6457623232489,412.2280033816851,411.827653298713,412.65413356229686
0.4200000000000001,-0.00195191557691,0.0013122574582,10.193357529,0.00158683704042,0.00919080488141,0.0,-0.0168525630471,0.00742241807702,0.670958636917,-0.00820680755223,0.00275076276624,0.0,421.9158442444866,420.3046899586965,421.2007812182627,420.3623574319065
0.48000000000000015,-0.00319298522152,0.00179482947858,10.240773103,0.000654365103354,0.0100229731774,0.0,-0.0245835982044,0.0085844014871,0.909400730306,-0.037226772471,0.0299443300236,0.0,478.0795272432222,480.14667010002927,480.62722395488976,478.42308746165065
0.5400000000000001,-0.00490223138465,0.00231534078326,10.3002451923,6.28162282288,0.0122339291483,0.0,-0.0326160789361,0.00851806035658,1.07286033683,-0.0363948238232,0.0479536308568,0.0,456.6582511153512,458.0929468875239,457.5012396823445,457.56687640240114
0.6000000000000002,-0.0071196875215,0.00278628174838,10.3673210469,6.27922859025,0.0155444106363,0.0,-0.0416119964875,0.00695118447133,1.16290900678,-0.048052389361,0.0666873194545,0.0,434.10012502840885,435.6711657339539,435.4427563496258,434.4656762262596
0.6600000000000003,-0.0099687152805,0.00310672007035,10.441073364,6.27677407117,0.0193714964105,0.0,-0.0537721758134,0.00344878969254,1.29535188734,-0.0294945797714,0.0572386565408,0.0,448.8410780787296,448.07658810570445,447.7187478989063,449.22497220416085
0.7200000000000003,-0.0137238502836,0.00313550436861,10.5275642649,6.27495244018,0.0227423521236,0.0,-0.0718357119612,-0.00272089579355,1.58730841267,-0.0321508880204,0.0539777300455,0.0,496.08002363826216,495.8423305776996,495.6429948534471,495.4475561785952
0.7800000000000004,-0.018600255028,0.00276388831728,10.6294001566,6.27301934248,0.0258706538042,0.0,-0.0910850914165,-0.00989457059012,1.8068886105,-0.0323534251745,0.0481810273564,0.0,476.1611647080586,475.7191031218711,475.684517907014,475.6686987543879
0.8400000000000004,-0.0245888339698,0.00196151986495,10.7399739863,6.2708735368,0.0285414476152,0.0,-0.108804622585,-0.0170486114891,1.87877958038,-0.0436440007916,0.0359292175532,0.0,431.687683849355,430.65385496837473,431.72386906400646,430.7695918259531
0.9000000000000005,-0.031887857268,0.00059865013683,10.8616623931,6.26870820858,0.030647838064,0.0,-0.13476129678,-0.0286835341559,2.17696822829,-0.0241486447306,0.0334084934487,0.0,499.5683112391842,499.3848699476055,498.2037295127814,499.6265137978111
0.9600000000000005,-0.0406715707189,-0.00145394774862,10.9971023574,6.26710060637,0.0328696683218,0.0,-0.158255068442,-0.0399004521153,2.33737127518,-0.0326899388298,0.0434351839691,0.0,460.4445132728861,461.2376037937558,460.0772966631691,459.40042342177003
1.0200000000000005,-0.0508981604041,-0.00420808258493,11.1415800347,6.26516279058,0.0358463130276,0.0,-0.182925737648,-0.0521095809141,2.47824010253,-0.0315224221282,0.0597421746561,0.0,455.5801081328779,456.8834850294517,453.78672796337844,453.88006990421195
1.0800000000000005,-0.0625012735428,-0.0076500197617,11.2897791627,6.26327658967,0.0396612252647,0.0,-0.204160822611,-0.0627821608867,2.4617489363,-0.0312657831621,0.0703246545812,0.0,404.3348341186056,405.2904301495025,404.5639217393106,404.58657345490553
1.1400000000000006,-0.0755592308112,-0.0118206978517,11.439766918,6.26164007341,0.0444953094385,0.0,-0.231548981286,-0.0764085327493,2.53765093175,-0.0202978419243,0.095685001924,0.0,433.58016137829287,435.7106858861689,435.56442547251976,436.4804880898463
1.2000000000000006,-0.090498898633,-0.0169047963776,11.5973070096,6.26014483478,0.0503602123914,0.0,-0.267079085826,-0.0932030641135,2.71324514114,-0.0362982879756,0.101582281535,0.0,466.0278936837597,466.4962909782227,467.54372727572866,466.2953766186705
1.2600000000000007,-0.107563023572,-0.0229693834086,11.7625948451,6.25811855131,0.0561876345077,0.0,-0.302310088814,-0.109152976228,2.79610648814,-0.0291450120725,0.086257256833,0.0,439.4159634027464,438.15182053974075,438.8033980712139,439.3963278018179
